name,r1,r2,n_members,members,missing_arms_10k,reason
ac19_10024,YYXXyxx,YYYYXYXYx,6,12269 27631 30124 90112 114009 132641,baseline,incomplete_all_existing_solved
ac19_10034,YXXyx,YYXXXXyXXYxyx,4,12281 58223 81913 120560,baseline,incomplete_all_existing_solved
ac19_10036,YXXYXXX,YYYXXXyyx,6,12283 55731 65792 139944 142621 147681,baseline,incomplete_all_existing_solved
ac19_1004,YXXYx,YYYXyyxxyXXYx,1,1562,baseline,incomplete_all_existing_solved
ac19_1005,YYXXX,YYYYYxyXyXXyyx,1,1563,s20_f4,incomplete_all_existing_solved
ac19_10072,YXXYxxyx,YXyXyXXYxyx,3,12333 22356 115643,s20_mk2,incomplete_all_existing_solved
ac19_1012,YXXYx,YYXXyyxYxyxxyX,1,1570,baseline,incomplete_all_existing_solved
ac19_10146,YXXXyxx,YYXyxYXXyXXX,1,12428,s20_f4,incomplete_all_existing_solved
ac19_10157,YXX,YYYXyyyXyXYYXYx,1,12442,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_10167,YXXYx,YYXYYxyXYXyx,2,12457 65845,s20_mk2,incomplete_all_existing_solved
ac19_10171,YYXXX,YYXYXyXXXXYxx,3,12461 73155 100387,s20_mk2,incomplete_all_existing_solved
ac19_10194,YXXyx,YYYXYxyyyxxyyx,4,12494 41338 83120 119446,baseline,incomplete_all_existing_solved
ac19_10206,YYXXYXyxx,YYYXyXXYxx,1,12511,s20_f4,incomplete_all_existing_solved
ac19_10216,YXXyXyxx,YYxxyxxYX,10,12525 15891 38245 44809 46478 87809 98041 101542 109032 147468,s20_mk2,incomplete_all_existing_solved
ac19_10219,YXXyx,YYYXyyXyxxxxYX,1,12529,s20_f4,incomplete_all_existing_solved
ac19_10221,YXXXyxx,YYXyXXXYXyXX,1,12532,baseline,incomplete_all_existing_solved
ac19_10224,YXXYx,YYYXyXyXyyxxxx,1,12535,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10226,YXXXX,YYXyyxYYXXyX,1,12537,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10227,YXXyx,YYXYxyyxxyXyxx,1,12538,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10231,YXXyx,YYXyxxyyxyXYx,3,12543 22481 76629,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_10235,YXYXyx,YYXyyXyxxxxyx,1,12548,s20_mk2,incomplete_all_existing_solved
ac19_10239,YXXYx,YYYXyXYxxyXyx,3,12555 119638 131357,s20_f4,incomplete_all_existing_solved
ac19_10246,YYXXYx,YYXyyXyyxxxYX,1,12567,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10265,YXXyx,YYXYXYYXyyXyyx,2,12594 123112,baseline,incomplete_all_existing_solved
ac19_10267,YXXyx,YYYXXyxyxxyyXX,1,12597,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_1027,YXXYx,YYXXXyXYXyxxxx,1,1586,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_10272,YXXyx,YYXyxYXyxYxyXX,1,12604,"baseline,s20_mk2,s20_f4",incomplete_all_existing_solved
ac19_10292,YXyXXXyx,YYYxxxyXXXyyx,2,12631 80906,baseline,incomplete_all_existing_solved
ac19_1032,YXXYx,YYXXYxYxYXX,2,1591 81383,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_10322,YYXXyXXYx,YXXXYXXXYx,1,12670,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10329,YYXXXYx,YYYYxxyyXXX,1,12679,baseline,incomplete_all_existing_solved
ac19_10344,YXXyx,YYXXYYXXyXyyxx,1,12702,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10364,YXXyx,YYYXXyxxyxyxYx,1,12734,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10416,YYXXyxx,YYXXXYxYxxyX,1,12807,s20_mk2,incomplete_all_existing_solved
ac19_10417,YXyXXyx,YYxyxYXYxyx,5,12808 27126 61985 98482 113795,"baseline,s20_mk2,s20_f4",incomplete_all_existing_solved
ac19_10421,YYXXyx,YYYxyyXXyxYYX,1,12812,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_10429,YYXXX,YYYYYXyxyXyyX,2,12824 74483,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10434,YXXYXXyxx,YXXyXXYxxx,7,12829 43886 59331 85755 105551 129429 131369,s20_f4,incomplete_all_existing_solved
ac19_10439,YXX,YYYxYXyyXYXyyx,2,12838 22422,s20_f4,incomplete_all_existing_solved
ac19_10452,YXXYx,YYXXXYYxYXyyx,1,12854,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_1047,YXXYxxyx,YYxxyXYxyXX,2,1606 146790,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10481,YXXyXyX,YYxxyxyXX,5,12888 53647 64278 102655 138435,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10486,YXXyx,YYXyxyXyXXX,9,12893 39453 54427 62576 103888 110125 111309 146374 148224,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10500,YYXXX,YYXXyyxxxxyX,3,12911 22908 36352,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_1052,YXYXX,YYYxyXXXYxyXyx,1,1612,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_10530,YXXyx,YYXXXXyxYXyxx,3,12943 22250 58322,baseline,incomplete_all_existing_solved
ac19_10540,YXXyx,YYYXyxxyXXX,7,12954 24770 26466 57402 66754 101631 101912,baseline,incomplete_all_existing_solved
ac19_10544,YXXYx,YYYYYXYxYXyyX,4,12959 24636 26854 43120,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_10554,YYXXYx,YYYXyXYxxYYXX,1,12973,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_1057,YXXyx,YYXXXyXYYxyxyx,1,1617,baseline,incomplete_all_existing_solved
ac19_10606,YXX,YYYXyXyxyXYx,4,13043 25097 88968 108165,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10632,YXYXyx,YYYxYYXyxyXXyyx,1,13072,s20_mk2,incomplete_all_existing_solved
ac19_1065,YXYXYx,YYYXyXXyxyxYx,1,1625,s20_mk2,incomplete_all_existing_solved
ac19_10650,YXYXyx,YYYYxYxyyXyXX,2,13092 116552,s20_mk2,incomplete_all_existing_solved
ac19_10657,YYXXYx,YYYYYYXXYYxyX,1,13101,s20_f4,incomplete_all_existing_solved
ac19_10659,YXXXyXyX,YYXyXYxyxyx,2,13103 131889,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10677,YYXXXyyxx,YYXXXyyXYx,1,13123,s20_f4,incomplete_all_existing_solved
ac19_10696,YXXYx,YYXXYXyXYxYxYX,1,13147,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_1070,YYXXX,YXyXyXYxxxyx,9,1630 20604 24259 37039 41054 75030 87529 110230 149123,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_10704,YYYXyXyyx,YXXXXyXyx,3,13155 30340 82687,baseline,incomplete_all_existing_solved
ac19_10729,YXYXyx,YYYXXXyXYXyXYxx,3,13191 34593 124236,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10734,YXXyxYx,YYxYXYxxxYXX,2,13197 140295,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10739,YXXyx,YYYXyyxYxyxyyX,2,13202 101325,"baseline,s20_f4",incomplete_all_existing_solved
ac19_10744,YYXXX,YYXyyXyXYxxyxx,1,13208,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_10797,YXYXyx,YYYXyXyxYxyXX,2,13275 148614,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_10802,YXX,YYYXyxyXyxx,2,13280 113582,baseline,incomplete_all_existing_solved
ac19_10834,YXXyx,YYYYYYXyxyXyXyyX,2,13325 31487,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10840,YXXyx,YYXXyyxyXXXYYx,1,13335,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_10844,YXXyx,YYXYXyxyyxYx,6,13341 91337 117678 121741 142252 146955,"baseline,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10849,YYXXYXX,YYYXyyXyyxxx,1,13347,s20_mk2,incomplete_all_existing_solved
ac19_10855,YXXyx,YYXYXXyXyXyXYX,1,13353,s20_mk2,incomplete_all_existing_solved
ac19_10860,YYXXXXyx,YYYXXyyXYXX,1,13358,"baseline,s20_f4",incomplete_all_existing_solved
ac19_10866,YXXYx,YYYXXYYxyXXyxx,1,13364,s20_mk2_mK2,incomplete_all_existing_solved
ac19_1087,YYXXX,YYYXXYXYXyXyx,2,1647 148253,s20_f4,incomplete_all_existing_solved
ac19_10871,YXXyx,YYYXyyXYxyXX,3,13370 61204 142668,"baseline,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10876,YXXYx,YYXXyXXYXYxxxx,1,13376,s20_mk2_mK2,incomplete_all_existing_solved
ac19_1089,YXXYx,YYXXyyXyxYXYxx,1,1649,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_10897,YYXXyxx,YYYxxxyXXyXX,2,13404 47205,s20_mk2,incomplete_all_existing_solved
ac19_10909,YXXYx,YYXXXyyxYYxxYX,1,13420,s20_mk2,incomplete_all_existing_solved
ac19_10969,YXXYx,YYXXyXYxYYxyX,2,13504 137188,s20_f4,incomplete_all_existing_solved
ac19_10977,YXXyx,YYYXyyxyXYXXX,4,13515 57108 76136 129491,s20_mk2_mK2,incomplete_all_existing_solved
ac19_10979,YXXYxxyx,YYXXXyyxxyX,3,13518 87794 94874,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11,YXXyx,YYXXyXX,50,42 62 103 104 134 164 1005 5198 7563 11629 14109 16741 17476 20131 29671 34086 36825 37683 38145 41963 44850 54989 58739 60559 60774 63537 66651 67054 70964 75194 75691 80519 87566 87643 95590 104798 107872 110400 110767 117516 120048 128233 131025 136225 138126 138483 144753 152264 154244 156099,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_1101,YXXXyxx,YYXyxxxYXyX,8,1662 29880 46702 50978 61710 79976 117276 144984,s20_mk2,incomplete_all_existing_solved
ac19_11024,YXXYx,YYYXXXXYXYxx,3,13580 30731 87565,s20_mk2,incomplete_all_existing_solved
ac19_11025,YXXXyXyx,YYXyxxxyX,4,13583 60998 100923 145619,s20_mk2_mK2,incomplete_all_existing_solved
ac19_11027,YYXXYXX,YYxxyxxyXyXyx,1,13586,s20_f4,incomplete_all_existing_solved
ac19_11032,YYXXYXX,YYYXyXyyxxyx,2,13593 34193,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11045,YXyXXyx,YYYxyxxYXyx,11,13608 13760 21019 25172 25437 39065 50959 93134 104982 105796 153234,s20_mk2,incomplete_all_existing_solved
ac19_11069,YXXyx,YYXXXyyXyxx,6,13636 60934 61686 71685 114419 140452,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_11090,YXYXXyxYx,YYxxyXyXYX,2,13665 15330,s20_f4,incomplete_all_existing_solved
ac19_11097,YXYXyXXYx,YYXXYXyXyxx,1,13675,s20_f4,incomplete_all_existing_solved
ac19_11107,YXXYx,YYYXYYXXyXYx,3,13688 21996 100473,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11132,YXXYx,YYYXyXYXXYxyxx,1,13722,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11157,YXXYXXX,YYXyXYYXyXyx,1,13756,s20_f4,incomplete_all_existing_solved
ac19_11161,YXXYx,YYXXXYxxyXyx,4,13761 44841 116443 131137,s20_mk2_mK2,incomplete_all_existing_solved
ac19_11162,YXyXXyx,YYXyXXyyxyX,3,13762 49735 72512,s20_mk2,incomplete_all_existing_solved
ac19_11187,YXXXXYx,YYXXYXXXyXYx,1,13798,s20_f4,incomplete_all_existing_solved
ac19_11192,YYXXX,YYXXXyyxyXYYx,1,13807,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11240,YXXyx,YYXXyyxxYxyXYx,1,13874,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11245,YXXyx,YYXXyXYxxyyxyX,1,13880,baseline,incomplete_all_existing_solved
ac19_11254,YXX,YYYXyXyXXyXYYxx,1,13893,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_11259,YYYXXXyxx,YYxxxYXXXX,1,13898,s20_mk2_mK2,incomplete_all_existing_solved
ac19_11275,YYXXyx,YYYYXyyXXYXyx,1,13916,s20_f4,incomplete_all_existing_solved
ac19_11280,YXXyx,YYXXyXXXyxxYX,3,13921 127100 144280,s20_f4,incomplete_all_existing_solved
ac19_11285,YXXYx,YYYXXXYXyyyxxx,1,13928,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11304,YXXYx,YYYXYXyXyxyx,5,13954 15879 115809 147076 150248,s20_f4,incomplete_all_existing_solved
ac19_11305,YXXyx,YYXyxxxyXXYx,5,13955 46529 99997 112946 149735,"baseline,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11315,YXXyx,YYXXYxyXXyXX,7,13965 25696 66892 88562 99829 131010 150053,baseline,incomplete_all_existing_solved
ac19_11320,YXyXYxx,YYYXYXYxxYx,4,13972 82201 82582 140384,baseline,incomplete_all_existing_solved
ac19_11322,YXXyx,YYXXYXYxyXXyyx,1,13974,s20_mk2_mK2,incomplete_all_existing_solved
ac19_11335,YXYXyx,YYxYYxyxyXXyX,1,13991,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_1134,YXYXX,YYYXYxYXXXXyyX,1,1698,s20_mk2,incomplete_all_existing_solved
ac19_11370,YXXX,YYYxxyXXyyx,2,14037 96166,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_11385,YXXyx,YYYXyXyXyxxyx,4,14057 62540 118749 154238,baseline,incomplete_all_existing_solved
ac19_11402,YXXyx,YYXYxyXyXyxyx,5,14080 27072 31470 34997 93324,baseline,incomplete_all_existing_solved
ac19_11427,YXXYx,YYYXXyyXYYx,7,14114 27817 29721 30014 57821 124908 145102,s20_f4,incomplete_all_existing_solved
ac19_11432,YXYXYx,YYXXYYxxYXXyx,1,14123,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_11434,YXXYx,YYXYXYYXXXYYx,4,14125 23471 88731 102593,s20_mk2,incomplete_all_existing_solved
ac19_11437,YXXyxYx,YYxxyxyXX,5,14128 46900 81914 105630 109114,s20_f4,incomplete_all_existing_solved
ac19_11439,YYXXyxx,YYYXYxyx,13,14130 20507 25887 30844 35159 49635 75318 80224 118155 124105 131371 134176 137721,s20_f4,incomplete_all_existing_solved
ac19_11455,YXYxyx,YYXyXXXyxyXyx,1,14152,baseline,incomplete_all_existing_solved
ac19_11467,YYXXyx,YXYxyXXYx,7,14166 38865 39531 61500 104751 137201 137828,s20_f4,incomplete_all_existing_solved
ac19_11470,YYXXyx,YYXXYxxyXYXyx,1,14170,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_11472,YYXXyx,YYXYYxyXXyxyX,1,14172,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11475,YXX,YYYXyyxyyXXYx,1,14175,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_11476,YXXyx,YYXXXXXyxYXyXX,1,14176,s20_mk2,incomplete_all_existing_solved
ac19_11480,YXXYx,YYYXYxyyyXyxyx,2,14181 89024,s20_f4,incomplete_all_existing_solved
ac19_11481,YXXYx,YYYXYYxyyyxYXX,4,14182 68476 79695 121897,s20_mk2,incomplete_all_existing_solved
ac19_11485,YXYXXYx,YYYXXYXyXYx,1,14186,baseline,incomplete_all_existing_solved
ac19_11489,YYXXX,YYXYxYXyXyxyX,2,14190 53579,s20_mk2,incomplete_all_existing_solved
ac19_11492,YXXX,YYYxyXYxyyXyx,2,14195 126193,s20_mk2,incomplete_all_existing_solved
ac19_11497,YXXyxYx,YYxxxYXXYXyX,2,14200 127733,s20_f4,incomplete_all_existing_solved
ac19_11502,YXXyx,YYYXyxxyxYXyX,3,14206 52607 124658,baseline,incomplete_all_existing_solved
ac19_11509,YXYXyx,YYXYXXXyXyxYx,1,14216,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11514,YXX,YYXyXyXYXyXYxx,1,14222,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11516,YXXYx,YYYYXXXyxxYxyX,1,14224,s20_mk2,incomplete_all_existing_solved
ac19_11531,YYXXXYX,YYXXyXXYx,5,14248 20198 66269 85404 116040,baseline,incomplete_all_existing_solved
ac19_11539,YXYXYx,YYYXXYXXYYxYx,2,14262 108491,"baseline,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11541,YXXYXXyx,YYXXyXYxyXX,3,14264 50768 109310,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_11554,YXYxyx,YYXXXyyxyXyyx,1,14282,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11559,YXX,YYYxYXXyXyyx,4,14291 51431 53482 62297,baseline,incomplete_all_existing_solved
ac19_11579,YXXyx,YYYXXyxxyyXYxx,1,14319,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11584,YYXXyxx,YYXXYXyxx,5,14324 15228 53274 58427 130721,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_11587,YXXYx,YYYXXyyx,21,14327 14681 25225 28040 31444 32469 34050 45180 48772 59043 64417 69926 87417 90049 112011 115303 124731 133739 143406 145835 149585,baseline,incomplete_all_existing_solved
ac19_11591,YXXyx,YYYYXXyyxyxx,2,14333 102380,"baseline,s20_f4",incomplete_all_existing_solved
ac19_11596,YYXXYx,YYXXYxyXyyxYx,1,14342,baseline,incomplete_all_existing_solved
ac19_11602,YXX,YYXYxYYXyXXyXyx,1,14352,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_11607,YXXYx,YYYXXYXyXYxxyx,1,14357,s20_mk2,incomplete_all_existing_solved
ac19_11609,YXYxyx,YYXYxYxYxxxyx,1,14359,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11615,YYXXyxx,YYXyyXYYxYxx,1,14366,s20_mk2,incomplete_all_existing_solved
ac19_11639,YYXXYx,YYXYXXyxYYx,3,14397 49174 139546,s20_mk2_mK2,incomplete_all_existing_solved
ac19_11640,YXXYx,YYXXyxxxxYXyX,2,14398 51163,baseline,incomplete_all_existing_solved
ac19_11659,YXXYXXXYx,YYxYXXyXyx,2,14425 73209,s20_mk2,incomplete_all_existing_solved
ac19_11666,YXXyx,YYYYYXXXyyxyyxx,1,14433,s20_mk2_mK2,incomplete_all_existing_solved
ac19_11677,YYXXX,YYXYXyXyXyxxYx,1,14448,s20_mk2,incomplete_all_existing_solved
ac19_11679,YXXXyxx,YYYXyXyxx,5,14451 15982 34287 45864 85089,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11682,YXXXX,YYYYXXXyyXyx,1,14454,baseline,incomplete_all_existing_solved
ac19_11689,YXXyx,YYXyxYxxxyX,9,14463 69376 81533 86451 107006 127558 133083 143467 155881,baseline,incomplete_all_existing_solved
ac19_11694,YXXyxYx,YYXXyyXYxx,4,14470 16435 36157 77306,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11699,YXXyx,YYYYXyyyxxxxxxx,2,14479 44243,s20_mk2,incomplete_all_existing_solved
ac19_11727,YYXXX,YYXyXXXYYxYXyX,1,14514,s20_mk2_mK2,incomplete_all_existing_solved
ac19_11735,YXXyx,YYYXyXyXyyxxxYYx,2,14525 55201,s20_mk2,incomplete_all_existing_solved
ac19_11737,YXXX,YYYXyxyyX,19,14528 16644 26654 30289 33887 49198 54203 56457 70607 76977 94893 104289 118973 129960 139483 144538 154158 154623 156475,s20_f4,incomplete_all_existing_solved
ac19_11741,YXyXXyx,YYYxyXXyyxyX,1,14535,baseline,incomplete_all_existing_solved
ac19_11756,YXXyx,YYXXYXyyXyyxx,2,14565 132974,"baseline,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11767,YXYXyx,YYYxYYXyXXyXX,2,14581 153621,s20_mk2_mK2,incomplete_all_existing_solved
ac19_11776,YXXyx,YYXXXXXXXyXyyx,1,14591,baseline,incomplete_all_existing_solved
ac19_11780,YXyXXyx,YYxyxyXyxYX,4,14596 63242 86940 90198,s20_mk2,incomplete_all_existing_solved
ac19_11784,YXXyx,YYXyyxxxxYx,6,14600 20369 58780 59990 103421 116360,"baseline,s20_f4",incomplete_all_existing_solved
ac19_11819,YXX,YYXyXyxyXyxYXYx,1,14652,s20_f4,incomplete_all_existing_solved
ac19_11824,YXXXXYx,YYYXyXXXXYx,4,14657 42196 44529 86485,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_11855,YXXyx,YYXyxxYYXyxxyX,1,14704,baseline,incomplete_all_existing_solved
ac19_11862,YXXyx,YYXYxyXyXyxyxx,1,14714,s20_f4,incomplete_all_existing_solved
ac19_11864,YXYXyx,YYYYYYxyyXXyX,2,14718 21126,s20_mk2,incomplete_all_existing_solved
ac19_11867,YXyXYxx,YYYYxyXXXyx,3,14722 36247 80604,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_11881,YXyXYxx,YYYXyXXyxyx,5,14740 73996 115716 125316 147358,baseline,incomplete_all_existing_solved
ac19_11889,YXXXXXXyXyX,YYxxxxxxxxyX,1,14750,s20_mk2,incomplete_all_existing_solved
ac19_11890,YXXyx,YYXXYxYXyyxyxx,1,14751,s20_f4,incomplete_all_existing_solved
ac19_11954,YYXXYx,YYXXXyXYYxYxx,1,14843,s20_f4,incomplete_all_existing_solved
ac19_11955,YYXXX,YYXXyXXYxxxyX,2,14844 17089,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_11957,YYXXYx,YYXyxYxyX,13,14846 24225 35149 41339 48069 58258 59621 61761 92327 120862 125343 140756 147982,s20_f4,incomplete_all_existing_solved
ac19_11959,YXXyx,YYYXXyyyXyxYYx,3,14849 96771 147043,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_12,YXXyx,YYXXyxx,43,47 61 109 110 133 163 1349 4478 7452 22855 24497 25114 30833 39680 46966 50462 55042 56492 58394 63920 81064 81257 86585 87241 91298 93572 101886 104053 106481 108854 109422 114008 115017 117382 120771 124699 133470 135438 139402 142528 144542 153017 154953,s20_mk2_mK2,incomplete_all_existing_solved
ac19_120,YYXXXyxx,YXYxxyXXyxx,1,642,baseline,incomplete_all_existing_solved
ac19_12000,YXYXyx,YYYXyyXXYYx,4,14903 16704 51533 55583,s20_f4,incomplete_all_existing_solved
ac19_12014,YXYXX,YYYYYYXXXyyyX,2,14924 54336,s20_f4,incomplete_all_existing_solved
ac19_12019,YXXyx,YYYXYXXyXyyX,3,14929 131233 142239,s20_mk2,incomplete_all_existing_solved
ac19_12032,YYXXXyX,YYXyXYYXXyyX,1,14946,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_12036,YXXyx,YYXYXyXXyXXX,7,14953 36940 84263 92581 107279 131765 135377,s20_mk2,incomplete_all_existing_solved
ac19_12049,YYXXyXyyX,YXYxxyXyX,3,14971 54975 103470,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_12091,YXXyx,YYYXyyxyXYYxyX,4,15028 49803 103521 119180,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_12096,YXXyXyxx,YYxYYxxxyXX,2,15035 139451,"s20_mk2,s20_f4",incomplete_all_existing_solved
ac19_12097,YYXXXyyxx,YXXYxxyXX,3,15037 34021 61344,baseline,incomplete_all_existing_solved
ac19_12099,YXXyx,YYYXyXyxyyxYYX,3,15040 91176 131716,s20_mk2,incomplete_all_existing_solved
ac19_1210,YXXYx,YYxyXXXyxyx,6,1778 20809 24220 88526 109424 129005,s20_mk2,incomplete_all_existing_solved
