pres_id,bin,r1,r2,mu_in,best_mu,descended,best_rep,best_chain,best_nsubs,n_orbits_seen,stopped_reason,cov_wall_ms,cov_n_aut_canon,cov_n_subs1_skipped,node_eq_ms,cov_nodes_eq_spent,B_rem,treat_cap,treat_solved,treat_nodes,treat_path,treat_min_relator_length,treat_skipped,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,control_source,full1k_solved,full1k_nodes,full1k_path,full1k_min_relator_length,full1k_cap,full1k_secs,note
155,1,YYYYxyXX,YYXyx,13,12,True,"[""YXXyx"", ""YYXyXXX""]","[""Xy""]",[2],6,stop_mu,16.996,10,28,0.11736865286828049,145,855,24,True,17,11,2,False,True,18,12,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,17,11,2,24,0.003,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
505,1,YYYYYYYXyyyyyyx,YYXyyxx,22,19,True,"[""YYXXyxx"", ""YYxxxxxyXXXX""]","[""XXyx""]",[2],13,cost_budget,123.907,36,261,0.11736865286828049,1000,0,28,False,0,,19,True,True,34,23,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,32,20,2,28,0.01,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
247,2,YYYXyyx,YYXyyXyx,13,11,True,"[""YXXyx"", ""YYXyxx""]","[""XXy""]",[2],8,stop_mu,32.976,15,28,0.11736865286828049,281,719,24,True,7,6,2,False,True,46,9,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,7,6,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
217,2,YYYXyyx,YYYxxyX,14,12,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",[2],7,stop_mu,23.967,13,33,0.11736865286828049,204,796,24,True,8,7,2,False,True,57,13,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,8,7,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
201,2,YYYXyyx,YYXYxYx,13,12,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",[2],9,stop_mu,33.921,12,31,0.11736865286828049,289,711,24,True,8,7,2,False,True,61,15,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,8,7,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
288,2,YYYYXXYx,YYYXyyx,15,12,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",[2],7,stop_mu,23.579,12,38,0.11736865286828049,201,799,24,True,55,10,2,False,True,106,17,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,55,10,2,24,0.013,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
367,2,YYYYXyyyx,YYXYYxYx,16,13,True,"[""YYXXyx"", ""YYXyyxx""]","[""yx"", ""XXy""]","[2, 2]",19,cost_budget,144.189,56,180,0.11736865286828049,1000,0,24,False,0,,13,True,True,83,21,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,9,7,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
331,2,YYYYXyyyx,YYXYxYx,15,10,True,"[""YYXyX"", ""YXXyx""]","[""yy"", ""yx""]","[4, 2]",20,stop_mu,119.961,42,115,0.11736865286828049,1000,0,24,False,0,,10,True,True,93,24,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,6,5,2,24,0.0,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
203,3,YYYXyyx,YYxYXYx,12,12,False,"[""YXXYx"", ""YYYXyyx""]",[],[],10,stop_mu,28.302,11,29,0.11736865286828049,241,759,24,True,55,10,2,False,True,116,16,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,55,10,2,24,0.013,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
265,3,YYYXyyx,YYYxYxYX,14,12,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",[2],7,stop_mu,21.718,10,36,0.11736865286828049,185,815,24,True,55,10,2,False,True,121,21,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,55,10,2,24,0.013,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
579,3,YYYYYYXyyyyyx,YYYXYYxx,21,17,True,"[""YYXXXyxx"", ""YYxxxyXXX""]","[""xy"", ""XXXyx""]","[2, 2]",15,cost_budget,191.308,63,272,0.11736865286828049,1000,0,25,False,0,,17,True,True,366,26,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,14,11,2,25,0.002,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
327,3,YYYYXyyyx,YYxYXX,15,13,True,"[""YXXyx"", ""YYYXyyxx""]","[""xy"", ""yX""]","[2, 2]",18,cost_budget,120.986,32,135,0.11736865286828049,1000,0,24,False,0,,13,True,True,273,29,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,21,14,2,24,0.004,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
333,3,YYYYXyyyx,YYxyXYx,14,13,True,"[""YXXyx"", ""YYYXyyxx""]","[""yX""]",[2],21,cost_budget,151.825,42,159,0.11736865286828049,1000,0,24,False,0,,13,True,True,313,35,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,21,14,2,24,0.004,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
380,3,YYYYXyyyx,YYYYxxyX,17,13,True,"[""YXXyx"", ""YYYXyyxx""]","[""xy"", ""yX""]","[2, 2]",22,cost_budget,146.873,51,177,0.11736865286828049,1000,0,24,False,0,,13,True,True,381,39,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,21,14,2,24,0.004,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
546,4,YYYYYXyyyyx,YYXYYxYx,18,15,True,"[""YYXXyxx"", ""YYxxxyXX""]","[""yx"", ""XXyx""]","[2, 2]",17,cost_budget,164.228,62,253,0.11736865286828049,1000,0,24,False,0,,15,True,True,398,24,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,10,8,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
548,4,YYYYYXyyyyx,YYxYYxyX,17,13,True,"[""YYXXyx"", ""YXXXXYx""]","[""XXy"", ""xyy""]","[2, 2]",18,cost_budget,120.611,35,142,0.11736865286828049,1000,0,24,False,0,,13,True,True,661,28,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,55,13,2,24,0.014,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
533,4,YYYYXyyyx,YYYXYxYx,16,13,True,"[""YXXyx"", ""YYYXyyxx""]","[""xy"", ""yX""]","[2, 2]",17,cost_budget,120.287,32,130,0.11736865286828049,1000,0,24,False,0,,13,True,True,438,43,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,21,14,2,24,0.004,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
589,4,YYYYYYXyyyyyx,YYYXYXYx,20,13,True,"[""YXXyx"", ""YYYXyxyx""]","[""xxxy"", ""xy""]","[2, 3]",18,cost_budget,161.212,38,196,0.11736865286828049,1000,0,24,False,0,,13,True,True,558,46,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,12,10,2,24,0.002,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
580,4,YYYYYYXyyyyyx,YYYxxYYX,21,17,True,"[""YYXXyxx"", ""YYxxxxyXXX""]","[""xy"", ""XXyx""]","[2, 2]",15,cost_budget,134.966,42,234,0.11736865286828049,1000,0,26,False,0,,17,True,True,875,47,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,23,15,2,26,0.005,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
609,4,YYYYYYYXyyyyyyx,YYYxYxyX,22,17,True,"[""YXXXyXyx"", ""YYYxyXyyx""]","[""xxx""]",[5],16,cost_budget,118.283,29,168,0.11736865286828049,1000,0,25,False,0,,17,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,14,25,0.658,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
538,5,YYYYYXyyyyx,YYxYxYX,17,13,True,"[""YXXyx"", ""YYXYxyyX""]","[""xyy"", ""xy""]","[2, 3]",20,cost_budget,156.673,34,157,0.11736865286828049,1000,0,24,False,0,,13,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,9,8,2,24,0.001,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
606,5,YYYYYYYXyyyyyyx,YYYxxYYX,23,19,True,"[""YYXXXyxx"", ""YYxxxyXXXXX""]","[""xy"", ""XXXyx""]","[2, 2]",15,cost_budget,139.477,39,240,0.11736865286828049,1000,0,27,False,0,,19,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,47,15,2,27,0.011,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
544,5,YYYYYXyyyyx,YYYxyXYx,16,15,True,"[""YXXyx"", ""YYYYXyyyxx""]","[""yX""]",[2],18,cost_budget,131.897,29,155,0.11736865286828049,1000,0,26,False,0,,15,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,109,40,2,26,0.033,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
549,5,YYYYYXyyyyx,YYYxYxYX,18,15,True,"[""YXXyx"", ""YYYYXyyyxx""]","[""xy"", ""yX""]","[2, 2]",18,cost_budget,160.888,34,184,0.11736865286828049,1000,0,26,False,0,,15,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,109,40,2,26,0.033,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
543,5,YYYYYXyyyyx,YYYYXYxx,19,15,True,"[""YXyXYxx"", ""YYYYXXYx""]","[""xxxx""]",[3],18,cost_budget,157.233,36,174,0.11736865286828049,1000,0,24,False,0,,15,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,15,24,0.656,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
565,5,YYYYYYXyyyyyx,YYxyXYx,18,17,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",[2],18,cost_budget,163.17,29,199,0.11736865286828049,1000,0,28,False,0,,17,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,592,98,2,28,0.24,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
602,6,YYYYYYYXyyyyyyx,YYYxYXX,22,14,True,"[""YYXXXyx"", ""YYxyXyX""]","[""xxxy"", ""xxx""]","[2, 4]",23,cost_budget,248.735,41,244,0.11736865286828049,1000,0,24,False,0,,14,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,480,40,2,24,0.223,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
632,6,YYYYYYYYXyyyyyyyx,YYYYXXYx,25,18,True,"[""YYXXXXXXX"", ""YXXXXyXYx""]","[""xxxx"", ""yXy""]","[4, 2]",14,cost_budget,122.339,26,205,0.11736865286828049,1000,0,25,False,0,,18,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,727,50,2,25,0.405,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
573,6,YYYYYYXyyyyyx,YYYYXYxx,21,14,True,"[""YYXXyxx"", ""YYxYxyX""]","[""xxxxy"", ""xx""]","[2, 5]",16,cost_budget,141.701,27,155,0.11736865286828049,1000,0,24,False,0,,14,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,14,24,0.7,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
586,6,YYYYYYXyyyyyx,YYYYxYXX,21,17,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]","[2, 2]",16,cost_budget,133.667,30,181,0.11736865286828049,1000,0,28,False,0,,17,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,592,98,2,28,0.239,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
581,6,YYYYYYXyyyyyx,YYYYxxYX,21,17,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]","[2, 2]",16,cost_budget,133.635,30,181,0.11736865286828049,1000,0,28,False,0,,17,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,592,98,2,28,0.238,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
575,6,YYYYYYXyyyyyx,YYYxyXYx,18,17,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",[2],18,cost_budget,164.246,29,199,0.11736865286828049,1000,0,28,False,0,,17,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,592,98,2,28,0.238,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
568,7,YYYYYYXyyyyyx,YYXYXyx,19,16,True,"[""YXXyXyx"", ""YYYXyxyyX""]","[""xx""]",[6],15,cost_budget,117.867,24,137,0.11736865286828049,1000,0,25,False,0,,16,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,14,25,0.69,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
578,7,YYYYYYXyyyyyx,YYXYYXyx,19,16,True,"[""YXXyXyx"", ""YYYXyxyyX""]","[""xx""]",[6],15,cost_budget,117.952,24,137,0.11736865286828049,1000,0,25,False,0,,16,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,14,25,0.69,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
583,7,YYYYYYXyyyyyx,YYXyxYYx,19,16,True,"[""YXXyXyx"", ""YYYXyxyyX""]","[""xx""]",[6],15,cost_budget,119.412,24,137,0.11736865286828049,1000,0,25,False,0,,16,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,14,25,0.691,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
628,7,YYYYYYYYXyyyyyyyx,YYXyXyyx,24,21,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",[2],12,cost_budget,137.142,35,325,0.11736865286828049,1000,0,30,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,435,48,2,30,0.254,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
633,7,YYYYYYYYXyyyyyyyx,YYXyyxyx,24,21,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",[2],12,cost_budget,137.243,35,325,0.11736865286828049,1000,0,30,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,True,435,48,2,30,0.253,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
596,7,YYYYYYYXyyyyyyx,YYxyXYx,20,19,True,"[""YXXyx"", ""YYYYYYXyyyyyxx""]","[""yX""]",[2],19,cost_budget,200.31,30,249,0.11736865286828049,1000,0,30,False,0,,19,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,19,30,0.55,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
605,8,YYYYYYYXyyyyyyx,YYYXyxYX,20,19,True,"[""YXXyx"", ""YYYYYYXyyyyyxx""]","[""yX""]",[2],19,cost_budget,199.23,30,249,0.11736865286828049,1000,0,30,False,0,,19,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,19,30,0.55,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
610,8,YYYYYYYXyyyyyyx,YYYxYXyx,20,19,True,"[""YXXyx"", ""YYYYYYXyyyyyxx""]","[""yX""]",[2],19,cost_budget,198.833,30,249,0.11736865286828049,1000,0,30,False,0,,19,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,19,30,0.55,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
625,8,YYYYYYYYXyyyyyyyx,YYXYxyX,22,21,True,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]","[""yX""]",[2],16,cost_budget,130.401,23,229,0.11736865286828049,1000,0,32,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,21,32,0.666,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
622,8,YYYYYYYYXyyyyyyyx,YYxyXYx,22,21,True,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]","[""yX""]",[2],16,cost_budget,131.712,23,229,0.11736865286828049,1000,0,32,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,21,32,0.668,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
624,8,YYYYYYYYXyyyyyyyx,YYxYXyx,22,21,True,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]","[""yX""]",[2],16,cost_budget,131.199,23,229,0.11736865286828049,1000,0,32,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,21,32,0.667,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
623,8,YYYYYYYYXyyyyyyyx,YYXyxYX,22,21,True,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]","[""yX""]",[2],16,cost_budget,131.005,23,229,0.11736865286828049,1000,0,32,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,21,32,0.663,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
634,9,YYYYYYYXyyyyyyx,YYYXyyxx,23,17,True,"[""YYXXyxx"", ""YYxYXXYxyX""]","[""xx"", ""Yxxy""]","[8, 2]",15,cost_budget,179.345,52,347,0.11736865286828049,1000,0,26,False,0,,17,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,16,26,0.822,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
635,9,YYYYYYYXyyyyyyx,YYYXXyyx,23,17,True,"[""YYXXyxx"", ""YYxYXXYxyX""]","[""xx"", ""Yxxy""]","[8, 2]",15,cost_budget,179.945,52,347,0.11736865286828049,1000,0,26,False,0,,17,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,16,26,0.822,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
637,9,YYYYYYYYXyyyyyyyx,YYYXyxYX,22,21,True,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]","[""yX""]",[2],16,cost_budget,130.939,23,229,0.11736865286828049,1000,0,32,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,21,32,0.666,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
639,9,YYYYYYYYXyyyyyyyx,YYYxYXyx,22,21,True,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]","[""yX""]",[2],16,cost_budget,130.652,23,229,0.11736865286828049,1000,0,32,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,21,32,0.666,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
638,9,YYYYYYYYXyyyyyyyx,YYYxyXYx,22,21,True,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]","[""yX""]",[2],16,cost_budget,130.993,23,229,0.11736865286828049,1000,0,32,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,21,32,0.664,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
636,9,YYYYYYYYXyyyyyyyx,YYYXYxyX,22,21,True,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]","[""yX""]",[2],16,cost_budget,131.275,23,229,0.11736865286828049,1000,0,32,False,0,,21,True,False,1000,,/workspace/results/comparison/cov_heur_b1k_subset60.csv,False,1000,,21,32,0.667,CoV wall is EXTRA cost on top of these 1000 nodes (not cost-matched)
