pres_id,bin,beam_k,mu_in,best_mu,hits_stop,descended,best_rep,best_chain,chain_len,n_orbits_seen,stopped_reason,n_aut_canon,n_expanded,n_rungs,treat_cap,greedy_budget,greedy_solved,greedy_nodes,greedy_path,greedy_min_relator_length,b1k_greedy_solved,b1k_heur_solved,b1k_covgreedy_solved
333,3,1,14,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""yX"", ""xy"", ""xy"", ""Xy"", ""yX"", ""yX"", ""xy""]",7,39,stop_mu,71,7,7,24,1000,True,17,11,2,True,True,True
380,3,1,17,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""xy"", ""xy"", ""Xy"", ""yX"", ""yX"", ""xy""]",8,46,stop_mu,88,8,8,24,1000,True,17,11,2,True,True,True
546,4,1,18,11,True,True,"[""YXXX"", ""YYYXyyX""]","[""yy"", ""yx"", ""Xyx"", ""Xy""]",4,18,stop_mu,50,4,4,24,1000,True,8,7,2,True,True,True
548,4,1,17,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""xx"", ""xy""]",4,24,stop_mu,42,4,4,24,1000,True,10,9,2,True,True,True
533,4,1,16,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""xy"", ""xy"", ""Xy"", ""yX"", ""yX"", ""xy""]",8,45,stop_mu,85,8,8,24,1000,True,17,11,2,True,True,True
589,4,1,20,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xxx"", ""yXy"", ""xy""]",3,17,stop_mu,31,3,3,24,1000,True,10,9,2,True,True,True
580,4,1,21,19,False,True,"[""YYXXXXyx"", ""YYXyXYYXyXX""]","[""xx""]",1,15,closed,40,5,5,27,1000,True,543,55,2,True,True,True
609,4,1,22,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxx"", ""yxY"", ""yy"", ""xy"", ""yX"", ""xy"", ""yX"", ""yX""]",8,40,stop_mu,87,8,8,24,1000,True,17,11,2,False,True,True
538,5,1,17,15,False,True,"[""YXYXXYx"", ""YYYXXyyx""]","[""yy""]",1,24,closed,43,6,6,24,1000,False,1000,,14,False,True,True
606,5,1,23,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""xy"", ""XXXyx"", ""Yxxxy"", ""XXyxx"", ""yx"", ""xx""]",6,30,stop_mu,78,6,6,24,1000,True,9,8,2,False,True,True
544,5,1,16,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""Xy"", ""xx"", ""yX"", ""xy"", ""yX"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx""]",18,84,stop_mu,158,18,18,24,1000,True,17,11,2,False,True,True
549,5,1,18,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""Xy"", ""xx"", ""yX"", ""xy"", ""yX"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx"", ""yx""]",19,90,stop_mu,172,19,19,24,1000,True,17,11,2,False,True,True
543,5,1,19,15,False,True,"[""YXyXYxx"", ""YYYYXXYx""]","[""xxxx""]",1,34,closed,104,12,12,24,1000,False,1000,,15,False,True,True
565,5,1,18,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",1,124,closed,230,26,26,28,1000,True,592,98,2,False,True,True
602,6,1,22,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxx"", ""yxY"", ""yXy"", ""xy"", ""yX"", ""xy"", ""yX"", ""yX""]",8,41,stop_mu,83,8,8,24,1000,True,17,11,2,False,True,True
632,6,1,25,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxxx"", ""yXy"", ""xy"", ""yX"", ""xy"", ""yX"", ""yX""]",7,37,stop_mu,78,7,7,24,1000,True,17,11,2,False,True,True
573,6,1,21,14,False,True,"[""YYXXyxx"", ""YYxYxyX""]","[""xxxxy"", ""xx""]",2,53,closed,115,16,16,24,1000,False,1000,,14,False,False,False
586,6,1,21,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]",2,131,closed,247,27,27,28,1000,True,592,98,2,False,True,True
581,6,1,21,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]",2,131,closed,247,27,27,28,1000,True,592,98,2,False,True,True
575,6,1,18,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",1,124,closed,230,26,26,28,1000,True,592,98,2,False,True,True
568,7,1,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""xx"", ""Xy"", ""xyy"", ""xxyX"", ""Xyx"", ""yx"", ""xy""]",10,42,stop_mu,73,10,10,24,1000,True,10,9,2,False,False,False
578,7,1,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""xx"", ""Xy"", ""xyy"", ""xxyX"", ""Xyx"", ""yx"", ""xy""]",10,42,stop_mu,73,10,10,24,1000,True,10,9,2,False,False,False
583,7,1,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""xx"", ""Xy"", ""xyy"", ""xxyX"", ""Xyx"", ""yx"", ""xy""]",10,42,stop_mu,73,10,10,24,1000,True,10,9,2,False,False,False
628,7,1,24,21,False,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",1,87,closed,700,29,29,30,1000,True,435,48,2,False,True,True
633,7,1,24,21,False,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",1,87,closed,700,29,29,30,1000,True,435,48,2,False,True,True
596,7,1,20,18,False,True,"[""YXyXXyx"", ""YYYXXyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""yxy"", ""xyx""]",21,145,rungs_exhausted,276,32,32,27,1000,False,1000,,18,False,False,False
605,8,1,20,18,False,True,"[""YXyXXyx"", ""YYYXXyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""yxy"", ""xyx""]",21,145,rungs_exhausted,276,32,32,27,1000,False,1000,,18,False,False,False
610,8,1,20,18,False,True,"[""YXyXXyx"", ""YYYXXyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""yxy"", ""xyx""]",21,145,rungs_exhausted,276,32,32,27,1000,False,1000,,18,False,False,False
625,8,1,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy""]",25,148,rungs_exhausted,275,32,32,29,1000,False,1000,,19,False,False,False
622,8,1,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy""]",25,148,rungs_exhausted,275,32,32,29,1000,False,1000,,19,False,False,False
624,8,1,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy""]",25,148,rungs_exhausted,275,32,32,29,1000,False,1000,,19,False,False,False
623,8,1,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy""]",25,148,rungs_exhausted,275,32,32,29,1000,False,1000,,19,False,False,False
634,9,1,23,16,False,True,"[""YYXXyxx"", ""YYYXYYxyx""]","[""xx"", ""Yxxy"", ""Xyxx""]",3,44,closed,147,17,17,25,1000,False,1000,,16,False,False,True
635,9,1,23,16,False,True,"[""YYXXyxx"", ""YYYXYYxyx""]","[""xx"", ""Yxxy"", ""Xyxx""]",3,44,closed,147,17,17,25,1000,False,1000,,16,False,False,True
637,9,1,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy""]",25,148,rungs_exhausted,275,32,32,29,1000,False,1000,,19,False,False,False
639,9,1,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy""]",25,148,rungs_exhausted,275,32,32,29,1000,False,1000,,19,False,False,False
638,9,1,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy""]",25,148,rungs_exhausted,275,32,32,29,1000,False,1000,,19,False,False,False
636,9,1,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy""]",25,148,rungs_exhausted,275,32,32,29,1000,False,1000,,19,False,False,False
0,0,2,6,6,True,False,"[""X"", ""YYXyx""]",[],0,1,stop_mu,1,0,0,24,1000,True,3,2,2,True,True,True
496,0,2,16,16,False,False,"[""X"", ""YYYYYYYXyyyyyyx""]",[],0,4,closed,18,3,2,31,1000,True,3,2,2,True,True,True
521,0,2,18,18,False,False,"[""X"", ""YYYYYYYYXyyyyyyyx""]",[],0,4,closed,19,4,3,33,1000,True,3,2,2,True,True,True
323,0,2,10,10,True,False,"[""X"", ""YYYYXyyyx""]",[],0,1,stop_mu,1,0,0,25,1000,True,3,2,2,True,True,True
228,0,2,14,8,True,True,"[""X"", ""YYYXyyx""]","[""yX""]",1,6,stop_mu,12,1,1,24,1000,True,3,2,2,True,True,True
455,0,2,19,12,True,True,"[""X"", ""YYYYYXyyyyx""]","[""Xy""]",1,9,stop_mu,20,1,1,27,1000,True,3,2,2,True,True,True
77,1,2,13,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""yX""]",1,9,stop_mu,14,1,1,24,1000,True,7,6,2,True,True,True
43,1,2,11,11,True,False,"[""YXXyx"", ""YYXyXX""]",[],0,1,stop_mu,1,0,0,24,1000,True,9,8,2,True,True,True
141,1,2,13,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""yx""]",1,8,stop_mu,11,1,1,24,1000,True,9,8,2,True,True,True
48,1,2,12,12,True,False,"[""YXXyx"", ""YYXyXXX""]",[],0,1,stop_mu,1,0,0,24,1000,True,17,11,2,True,True,True
155,1,2,13,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""Xy""]",1,6,stop_mu,10,1,1,24,1000,True,17,11,2,True,True,True
505,1,2,22,6,True,True,"[""X"", ""YYXyx""]","[""XXyx"", ""xx"", ""yX"", ""yX"", ""Xyx"", ""yx"", ""yx"", ""xx""]",8,66,stop_mu,167,15,8,24,1000,True,3,2,2,True,True,True
247,2,2,13,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""XXy""]",1,8,stop_mu,15,1,1,24,1000,True,7,6,2,True,True,True
217,2,2,14,12,True,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,13,1,1,24,1000,True,8,7,2,True,True,True
201,2,2,13,12,True,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",1,9,stop_mu,12,1,1,24,1000,True,8,7,2,True,True,True
288,2,2,15,12,True,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,12,1,1,24,1000,True,55,10,2,True,True,True
367,2,2,16,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""yx"", ""XXy"", ""yy""]",3,23,stop_mu,58,5,3,24,1000,True,7,6,2,True,True,True
331,2,2,15,10,True,True,"[""YYXyX"", ""YXXyx""]","[""yy"", ""yx""]",2,20,stop_mu,42,3,2,24,1000,True,6,5,2,True,True,True
203,3,2,12,12,True,False,"[""YXXYx"", ""YYYXyyx""]",[],0,1,stop_mu,1,0,0,24,1000,True,55,10,2,True,True,True
265,3,2,14,12,True,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,10,1,1,24,1000,True,55,10,2,True,True,True
579,3,2,21,11,True,True,"[""YXXX"", ""YYYXyyX""]","[""xy"", ""XXXyx"", ""Yxxxy"", ""Xy""]",4,28,stop_mu,121,7,4,24,1000,True,8,7,2,True,True,True
327,3,2,15,12,True,True,"[""YXXyx"", ""YYXyxxx""]","[""xy"", ""yX"", ""yX"", ""yX""]",4,33,stop_mu,73,7,4,24,1000,True,10,9,2,True,True,True
333,3,2,14,12,True,True,"[""YXXyx"", ""YYXyxxx""]","[""yX"", ""yX"", ""yX""]",3,23,stop_mu,47,5,3,24,1000,True,10,9,2,True,True,True
380,3,2,17,12,True,True,"[""YXXyx"", ""YYXyxxx""]","[""xy"", ""yX"", ""yX"", ""yX""]",4,32,stop_mu,71,7,4,24,1000,True,10,9,2,True,True,True
546,4,2,18,11,True,True,"[""YXXX"", ""YYYXyyX""]","[""yx"", ""XXyx"", ""yxxY"", ""Xy""]",4,26,stop_mu,92,7,4,24,1000,True,8,7,2,True,True,True
548,4,2,17,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""XXy"", ""xyy"", ""xy""]",3,26,stop_mu,51,5,3,24,1000,True,10,9,2,True,True,True
533,4,2,16,12,True,True,"[""YXXyx"", ""YYXyxxx""]","[""xy"", ""yX"", ""yX"", ""yX""]",4,31,stop_mu,66,7,4,24,1000,True,10,9,2,True,True,True
589,4,2,20,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""xxxy"", ""xy"", ""yx""]",3,27,stop_mu,59,5,3,24,1000,True,9,8,2,True,True,True
580,4,2,21,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""XXyx"", ""xx"", ""xyX"", ""yx"", ""yX""]",6,48,stop_mu,121,11,6,24,1000,True,17,11,2,True,True,True
609,4,2,22,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""XXXy"", ""XXXy"", ""xy"", ""yX"", ""yx"", ""yX""]",6,49,stop_mu,117,11,6,24,1000,True,17,11,2,False,True,True
538,5,2,17,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""xyy"", ""xy"", ""yX""]",3,30,stop_mu,58,5,3,24,1000,True,7,6,2,False,True,True
606,5,2,23,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""xy"", ""XXXyx"", ""Yxxxy"", ""XXyxx"", ""yx"", ""xx""]",6,42,stop_mu,135,11,6,24,1000,True,9,8,2,False,True,True
544,5,2,16,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""yX"", ""yX"", ""yX"", ""yX"", ""Xyx"", ""yx"", ""yx"", ""yx"", ""yx""]",9,75,stop_mu,140,17,9,24,1000,True,17,11,2,False,True,True
549,5,2,18,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""yX"", ""yX"", ""yX"", ""Xyx"", ""yx"", ""yx"", ""yx"", ""yx""]",10,86,stop_mu,170,19,10,24,1000,True,17,11,2,False,True,True
543,5,2,19,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""yX"", ""yX"", ""yX"", ""Xyx"", ""yx"", ""yx"", ""yx"", ""yx""]",10,84,stop_mu,163,19,10,24,1000,True,17,11,2,False,True,True
565,5,2,18,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",1,239,rungs_exhausted,524,63,32,28,1000,True,592,98,2,False,True,True
602,6,2,22,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxxy"", ""xy"", ""yx"", ""yx"", ""yX""]",5,46,stop_mu,95,9,5,24,1000,True,17,11,2,False,True,True
632,6,2,25,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxxx"", ""yXy"", ""xy"", ""yX"", ""yx"", ""yX""]",6,51,stop_mu,116,11,6,24,1000,True,17,11,2,False,True,True
573,6,2,21,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xxxxy"", ""xx"", ""Xy"", ""xyy"", ""Xyx"", ""Xyx"", ""yx"", ""xy""]",8,56,stop_mu,107,15,8,24,1000,True,10,9,2,False,False,False
586,6,2,21,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]",2,244,rungs_exhausted,545,63,32,28,1000,True,592,98,2,False,True,True
581,6,2,21,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]",2,244,rungs_exhausted,545,63,32,28,1000,True,592,98,2,False,True,True
575,6,2,18,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",1,239,rungs_exhausted,524,63,32,28,1000,True,592,98,2,False,True,True
568,7,2,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""XXy"", ""xx"", ""Xyx"", ""yx"", ""xy""]",8,54,stop_mu,101,15,8,24,1000,True,10,9,2,False,False,False
578,7,2,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""XXy"", ""xx"", ""Xyx"", ""yx"", ""xy""]",8,54,stop_mu,101,15,8,24,1000,True,10,9,2,False,False,False
583,7,2,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""XXy"", ""xx"", ""Xyx"", ""yx"", ""xy""]",8,54,stop_mu,101,15,8,24,1000,True,10,9,2,False,False,False
628,7,2,24,21,False,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",1,151,rungs_exhausted,614,61,32,30,1000,True,435,48,2,False,True,True
633,7,2,24,21,False,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",1,151,rungs_exhausted,614,61,32,30,1000,True,435,48,2,False,True,True
596,7,2,20,19,False,True,"[""YXXyx"", ""YYYYYYXyyyyyxx""]","[""yX""]",1,219,rungs_exhausted,551,63,32,30,1000,False,1000,,19,False,False,False
605,8,2,20,19,False,True,"[""YXXyx"", ""YYYYYYXyyyyyxx""]","[""yX""]",1,219,rungs_exhausted,551,63,32,30,1000,False,1000,,19,False,False,False
610,8,2,20,19,False,True,"[""YXXyx"", ""YYYYYYXyyyyyxx""]","[""yX""]",1,219,rungs_exhausted,551,63,32,30,1000,False,1000,,19,False,False,False
625,8,2,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""yX"", ""yx"", ""xy"", ""xy"", ""yx"", ""xx"", ""Xyx"", ""xy"", ""xx"", ""Xyx"", ""Xy"", ""yx"", ""Xyx"", ""yx"", ""Xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""xyx"", ""yxy"", ""Xy"", ""xy"", ""xyx""]",25,232,rungs_exhausted,553,63,32,29,1000,False,1000,,19,False,False,False
622,8,2,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""yX"", ""yx"", ""xy"", ""xy"", ""yx"", ""xx"", ""Xyx"", ""xy"", ""xx"", ""Xyx"", ""Xy"", ""yx"", ""Xyx"", ""yx"", ""Xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""xyx"", ""yxy"", ""Xy"", ""xy"", ""xyx""]",25,232,rungs_exhausted,553,63,32,29,1000,False,1000,,19,False,False,False
624,8,2,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""yX"", ""yx"", ""xy"", ""xy"", ""yx"", ""xx"", ""Xyx"", ""xy"", ""xx"", ""Xyx"", ""Xy"", ""yx"", ""Xyx"", ""yx"", ""Xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""xyx"", ""yxy"", ""Xy"", ""xy"", ""xyx""]",25,232,rungs_exhausted,553,63,32,29,1000,False,1000,,19,False,False,False
623,8,2,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""yX"", ""yx"", ""xy"", ""xy"", ""yx"", ""xx"", ""Xyx"", ""xy"", ""xx"", ""Xyx"", ""Xy"", ""yx"", ""Xyx"", ""yx"", ""Xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""xyx"", ""yxy"", ""Xy"", ""xy"", ""xyx""]",25,232,rungs_exhausted,553,63,32,29,1000,False,1000,,19,False,False,False
634,9,2,23,16,False,True,"[""YYXXyxx"", ""YYYXYYxyx""]","[""xx"", ""Yxxy"", ""Xyxx""]",3,51,closed,144,19,11,25,1000,False,1000,,16,False,False,True
635,9,2,23,16,False,True,"[""YYXXyxx"", ""YYYXYYxyx""]","[""xx"", ""Yxxy"", ""Xyxx""]",3,51,closed,144,19,11,25,1000,False,1000,,16,False,False,True
637,9,2,22,20,False,True,"[""YXyXXyx"", ""YYXYXXyyxxyxx""]","[""yX"", ""yX"", ""yx"", ""xy"", ""xy"", ""yx"", ""xx"", ""Xyx"", ""xy"", ""xx"", ""Xyx"", ""Xy"", ""yx"", ""Xyx"", ""yx"", ""Xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""xyx"", ""yxy"", ""Xy"", ""xy"", ""xyx""]",25,232,rungs_exhausted,553,63,32,29,1000,False,1000,,19,False,False,False
