pres_id,bin,mu_in,best_mu,descended,chain_len,best_rep,treat_cap,full1k_solved,full1k_nodes,algo_proven_b10k,algo_orbit_witness_b10k,orbit_witness_solved,orbit_witness_nodes,orbit_witness_cap,orbit_witness_exact_best_rep,orbit_witness_z,orbit_witness_r1,orbit_witness_r2,bestcov_b10k_solved,bestcov_b10k_nodes,bestcov_b10k_z,n_cov_tried,n_cov_solved
624,8,22,20,True,2,"[""YXyXXYxyx"", ""YYXXXXXXXyX""]",27,False,1000,False,False,False,,,False,,,,False,,,169,0
625,8,22,20,True,2,"[""YXyXXYxyx"", ""YYXXXXXXXyX""]",27,False,1000,False,False,False,,,False,,,,False,,,169,0
628,7,24,12,True,14,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,158,YYYYYYYxyyyyyyy,173,83
632,6,25,12,True,6,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,39,YYxyyyyyyyy,169,146
633,7,24,12,True,14,"[""YXXyx"", ""YYXyXXX""]",24,True,17,True,True,False,,,False,,,,True,158,XYYxyy,173,89
634,9,23,11,True,17,"[""YXXyx"", ""YYXyXX""]",24,True,9,True,True,False,,,False,,,,True,410,YYxyy,138,55
635,9,23,11,True,17,"[""YXXyx"", ""YYXyXX""]",24,True,9,True,True,False,,,False,,,,True,410,yyxYY,134,54
636,9,22,20,True,2,"[""YXyXXYxyx"", ""YYXXXXXXXyX""]",27,False,1000,False,False,False,,,False,,,,False,,,172,0
637,9,22,20,True,2,"[""YXyXXYxyx"", ""YYXXXXXXXyX""]",27,False,1000,False,False,False,,,False,,,,False,,,173,0
638,9,22,20,True,2,"[""YXyXXYxyx"", ""YYXXXXXXXyX""]",27,False,1000,False,False,False,,,False,,,,False,,,173,0
639,9,22,20,True,2,"[""YXyXXYxyx"", ""YYXXXXXXXyX""]",27,False,1000,False,False,False,,,False,,,,False,,,172,0
