pres_id,bin,r1,r2,n_nonsym,fallback,hsel_z,hsel_n_subs,hsel_mu,hsel_prio,hsel_rep,hsel_cap,nonsym_heur_solved,nonsym_heur_nodes,nonsym_heur_path,nonsym_heur_h_solved,nonsym_heur_h_nodes,nonsym_heur_h_path,msel_z,msel_mu,msel_prio,msel_rep,same_as_mumin,nonsym_mumin_solved,nonsym_mumin_nodes,nonsym_mumin_path,b1k_greedy_solved,b1k_heur_solved,b1k_covgreedy_solved
155,1,YYYYxyXX,YYXyx,5,,Xy,2,12,46.07716666666666,"[""YXXyx"", ""YYXyXXX""]",24,True,17,11,True,13,11,Xy,12,46.07716666666666,"[""YXXyx"", ""YYXyXXX""]",True,True,17,11,True,True,True
505,1,YYYYYYYXyyyyyyx,YYXyyxx,7,,XXyx,2,19,55.85584210526316,"[""YYXXyxx"", ""YYxxxxxyXXXX""]",28,True,32,20,True,22,16,XXyx,19,55.85584210526316,"[""YYXXyxx"", ""YYxxxxxyXXXX""]",True,True,32,20,True,True,True
247,2,YYYXyyx,YYXyyXyx,7,,XXy,2,11,44.82777272727272,"[""YXXyx"", ""YYXyxx""]",24,True,7,6,True,7,6,XXy,11,44.82777272727272,"[""YXXyx"", ""YYXyxx""]",True,True,7,6,True,True,True
217,2,YYYXyyx,YYYxxyX,6,,xy,2,12,46.07716666666666,"[""YXXyx"", ""YYYXyyx""]",24,True,8,7,True,8,7,xy,12,46.07716666666666,"[""YXXyx"", ""YYYXyyx""]",True,True,8,7,True,True,True
201,2,YYYXyyx,YYXYxYx,8,,xy,2,12,46.07716666666666,"[""YXXyx"", ""YYYXyyx""]",24,True,8,7,True,8,7,xy,12,46.07716666666666,"[""YXXyx"", ""YYYXyyx""]",True,True,8,7,True,True,True
288,2,YYYYXXYx,YYYXyyx,6,,xy,2,12,46.07716666666666,"[""YXXYx"", ""YYYXyyx""]",24,True,55,10,True,73,14,xy,12,46.07716666666666,"[""YXXYx"", ""YYYXyyx""]",True,True,55,10,True,True,True
367,2,YYYYXyyyx,YYXYYxYx,6,,yx,2,15,49.62583333333333,"[""YYXXyx"", ""YXXXXyxxx""]",25,True,11,8,True,10,8,yx,15,49.62583333333333,"[""YYXXyx"", ""YXXXXyxxx""]",True,True,11,8,True,True,True
331,2,YYYYXyyyx,YYXYxYx,9,,xy,2,15,49.62583333333333,"[""YYXXyx"", ""YXXXXyxxx""]",25,True,11,8,True,10,8,yy,13,55.30683076923077,"[""YXXyx"", ""YYXyyXYx""]",False,True,7,6,True,True,True
203,3,YYYXyyx,YYxYXYx,9,,yx,2,12,46.07716666666666,"[""YXXyx"", ""YYYXyyx""]",24,True,8,7,True,8,7,yx,12,46.07716666666666,"[""YXXyx"", ""YYYXyyx""]",True,True,8,7,True,True,True
265,3,YYYXyyx,YYYxYxYX,6,,xy,2,12,46.07716666666666,"[""YXXYx"", ""YYYXyyx""]",24,True,55,10,True,73,14,xy,12,46.07716666666666,"[""YXXYx"", ""YYYXyyx""]",True,True,55,10,True,True,True
579,3,YYYYYYXyyyyyx,YYYXYYxx,7,,xy,2,21,56.25288095238095,"[""YYXXXyxx"", ""YXXXXXXyxxxxx""]",29,True,15,12,True,13,10,xy,21,56.25288095238095,"[""YYXXXyxx"", ""YXXXXXXyxxxxx""]",True,True,15,12,True,True,True
327,3,YYYYXyyyx,YYxYXX,9,,xy,2,14,48.469071428571425,"[""YXXyx"", ""YYYYXyyyx""]",25,True,22,15,True,24,15,xy,14,48.469071428571425,"[""YXXyx"", ""YYYYXyyyx""]",True,True,22,15,True,True,True
333,3,YYYYXyyyx,YYxyXYx,8,,yX,2,13,48.89623076923077,"[""YXXyx"", ""YYYXyyxx""]",24,True,21,14,True,24,14,yX,13,48.89623076923077,"[""YXXyx"", ""YYYXyyxx""]",True,True,21,14,True,True,True
380,3,YYYYXyyyx,YYYYxxyX,8,,xy,2,14,48.469071428571425,"[""YXXyx"", ""YYYYXyyyx""]",25,True,22,15,True,24,15,xy,14,48.469071428571425,"[""YXXyx"", ""YYYYXyyyx""]",True,True,22,15,True,True,True
546,4,YYYYYXyyyyx,YYXYYxYx,6,,yx,2,18,52.99161111111111,"[""YYXXyxx"", ""YXXXXXyxxxx""]",27,True,11,9,True,11,9,yx,18,52.99161111111111,"[""YYXXyxx"", ""YXXXXXyxxxx""]",True,True,11,9,True,True,True
548,4,YYYYYXyyyyx,YYxYYxyX,8,,XXy,2,15,51.3014,"[""YYXXyx"", ""YYYYxyyXX""]",25,True,62,14,True,140,18,XXy,15,51.3014,"[""YYXXyx"", ""YYYYxyyXX""]",True,True,62,14,True,True,True
533,4,YYYYXyyyx,YYYXYxYx,9,,xy,2,14,48.469071428571425,"[""YXXyx"", ""YYYYXyyyx""]",25,True,22,15,True,24,15,xy,14,48.469071428571425,"[""YXXyx"", ""YYYYXyyyx""]",True,True,22,15,True,True,True
589,4,YYYYYYXyyyyyx,YYYXYXYx,9,,xy,2,20,55.1745,"[""YYXXXyx"", ""YXXXXXXyxxxxx""]",29,True,54,15,True,132,19,xxx,17,62.904980392156865,"[""YXXXyXYx"", ""YYYXXyXyx""]",False,True,143,19,True,True,True
580,4,YYYYYYXyyyyyx,YYYxxYYX,7,,xy,2,20,55.1745,"[""YYXXyxx"", ""YXXXXXXyxxxxx""]",29,True,24,16,True,21,16,xx,19,72.71226315789474,"[""YYXXXXyx"", ""YYXyXYYXyXX""]",False,True,543,55,True,True,True
609,4,YYYYYYYXyyyyyyx,YYYxYxyX,9,,XXXy,2,19,55.85584210526316,"[""YYXXXyx"", ""YYxxxyXXXXXX""]",28,True,402,39,True,428,42,xxx,17,62.904980392156865,"[""YXXXyXyx"", ""YYYxyXyyx""]",False,False,1000,,False,True,True
538,5,YYYYYXyyyyx,YYxYxYX,9,,xy,2,17,51.88402941176471,"[""YYXXyx"", ""YXXXXyxxxxx""]",27,True,56,15,True,129,19,yy,15,58.964666666666666,"[""YXYXXYx"", ""YYYXXyyx""]",False,False,1000,,False,True,True
606,5,YYYYYYYXyyyyyyx,YYYxxYYX,8,,xy,2,23,58.38919565217391,"[""YYXXXyxx"", ""YXXXXXXyxxxxxxx""]",31,True,48,16,True,129,20,xy,23,58.38919565217391,"[""YYXXXyxx"", ""YXXXXXXyxxxxxxx""]",True,True,48,16,False,True,True
544,5,YYYYYXyyyyx,YYYxyXYx,8,,yX,2,15,51.3014,"[""YXXyx"", ""YYYYXyyyxx""]",26,True,109,40,True,57,30,yX,15,51.3014,"[""YXXyx"", ""YYYYXyyyxx""]",True,True,109,40,False,True,True
549,5,YYYYYXyyyyx,YYYxYxYX,9,,xy,2,16,50.763,"[""YXXyx"", ""YYYYYXyyyyx""]",27,True,109,41,True,57,31,xy,16,50.763,"[""YXXyx"", ""YYYYYXyyyyx""]",True,True,109,41,False,True,True
543,5,YYYYYXyyyyx,YYYYXYxx,10,,xy,2,16,50.763,"[""YXXyx"", ""YYYYYXyyyyx""]",27,True,109,41,True,57,31,xxxx,15,58.964666666666666,"[""YXyXYxx"", ""YYYYXXYx""]",False,False,1000,,False,True,True
565,5,YYYYYYXyyyyyx,YYxyXYx,8,,yX,2,17,53.61123529411765,"[""YXXyx"", ""YYYYYXyyyyxx""]",28,True,592,98,True,283,82,yX,17,53.61123529411765,"[""YXXyx"", ""YYYYYXyyyyxx""]",True,True,592,98,False,True,True
602,6,YYYYYYYXyyyyyyx,YYYxYXX,10,,xy,2,22,57.32413636363636,"[""YYXXXyx"", ""YXXXXXXyxxxxxxx""]",31,True,403,40,True,428,42,xxx,17,62.904980392156865,"[""YXXXyXYx"", ""YYYXyXyyx""]",False,False,1000,,False,True,True
632,6,YYYYYYYYXyyyyyyyx,YYYYXXYx,10,,XXXXy,2,23,60.2174347826087,"[""YYXXXXyX"", ""YYxxxxyXXXXXXXX""]",31,False,1000,,True,831,56,xxxx,19,65.23112280701754,"[""YXXXXyXYx"", ""YYYXXXyXyx""]",False,True,727,51,False,True,True
573,6,YYYYYYXyyyyyx,YYYYXYxx,10,,xy,2,19,54.08786842105263,"[""YYXXyx"", ""YXXXXXXyxxxxx""]",29,False,1000,,False,1000,,xy,19,54.08786842105263,"[""YYXXyx"", ""YXXXXXXyxxxxx""]",True,False,1000,,False,False,False
586,6,YYYYYYXyyyyyx,YYYYxYXX,10,,xy,2,18,52.99161111111111,"[""YXXyx"", ""YYYYYYXyyyyyx""]",29,True,592,99,True,283,83,xy,18,52.99161111111111,"[""YXXyx"", ""YYYYYYXyyyyyx""]",True,True,592,99,False,True,True
581,6,YYYYYYXyyyyyx,YYYYxxYX,10,,xy,2,18,52.99161111111111,"[""YXXyx"", ""YYYYYYXyyyyyx""]",29,True,592,99,True,283,83,xy,18,52.99161111111111,"[""YXXyx"", ""YYYYYYXyyyyyx""]",True,True,592,99,False,True,True
575,6,YYYYYYXyyyyyx,YYYxyXYx,8,,yX,2,17,53.61123529411765,"[""YXXyx"", ""YYYYYXyyyyxx""]",28,True,592,98,True,283,82,yX,17,53.61123529411765,"[""YXXyx"", ""YYYYYXyyyyxx""]",True,True,592,98,False,True,True
568,7,YYYYYYXyyyyyx,YYXYXyx,8,,XXy,2,17,53.61123529411765,"[""YYXXyx"", ""YYYYXyyyyxx""]",27,False,1000,,False,1000,,xx,16,60.713166666666666,"[""YXXyXyx"", ""YYYXyxyyX""]",False,False,1000,,False,False,False
578,7,YYYYYYXyyyyyx,YYXYYXyx,8,,XXy,2,17,53.61123529411765,"[""YYXXyx"", ""YYYYXyyyyxx""]",27,False,1000,,False,1000,,xx,16,60.713166666666666,"[""YXXyXyx"", ""YYYXyxyyX""]",False,False,1000,,False,False,False
583,7,YYYYYYXyyyyyx,YYXyxYYx,8,,XXy,2,17,53.61123529411765,"[""YYXXyx"", ""YYYYXyyyyxx""]",27,False,1000,,False,1000,,xx,16,60.713166666666666,"[""YXXyXyx"", ""YYYXyxyyX""]",False,False,1000,,False,False,False
628,7,YYYYYYYYXyyyyyyyx,YYXyXyyx,6,,XXyx,2,21,58.05385714285714,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]",30,True,435,48,True,63,32,XXyx,21,58.05385714285714,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]",True,True,435,48,False,True,True
633,7,YYYYYYYYXyyyyyyyx,YYXyyxyx,6,,XXyx,2,21,58.05385714285714,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]",30,True,435,48,True,63,32,XXyx,21,58.05385714285714,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]",True,True,435,48,False,True,True
596,7,YYYYYYYXyyyyyyx,YYxyXYx,9,,yX,2,19,55.85584210526316,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",30,False,1000,,False,1000,,yX,19,55.85584210526316,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",True,False,1000,,False,False,False
605,8,YYYYYYYXyyyyyyx,YYYXyxYX,9,,yX,2,19,55.85584210526316,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",30,False,1000,,False,1000,,yX,19,55.85584210526316,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",True,False,1000,,False,False,False
610,8,YYYYYYYXyyyyyyx,YYYxYXyx,9,,yX,2,19,55.85584210526316,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",30,False,1000,,False,1000,,yX,19,55.85584210526316,"[""YXXyx"", ""YYYYYYXyyyyyxx""]",True,False,1000,,False,False,False
625,8,YYYYYYYYXyyyyyyyx,YYXYxyX,8,,yX,2,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",32,False,1000,,False,1000,,yX,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",True,False,1000,,False,False,False
622,8,YYYYYYYYXyyyyyyyx,YYxyXYx,8,,yX,2,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",32,False,1000,,False,1000,,yX,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",True,False,1000,,False,False,False
624,8,YYYYYYYYXyyyyyyyx,YYxYXyx,8,,yX,2,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",32,False,1000,,False,1000,,yX,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",True,False,1000,,False,False,False
623,8,YYYYYYYYXyyyyyyyx,YYXyxYX,8,,yX,2,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",32,False,1000,,False,1000,,yX,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",True,False,1000,,False,False,False
634,9,YYYYYYYXyyyyyyx,YYYXyyxx,8,,XXXyx,2,19,55.85584210526316,"[""YYXXXyxx"", ""YYxxxxyXXXX""]",27,False,1000,,False,1000,,xx,18,71.539,"[""YYXXyxx"", ""YYxyXYYxxyX""]",False,False,1000,,False,False,True
635,9,YYYYYYYXyyyyyyx,YYYXXyyx,8,,XXXyx,2,19,55.85584210526316,"[""YYXXXyxx"", ""YYxxxxyXXXX""]",27,False,1000,,False,1000,,xx,18,71.539,"[""YYXXyxx"", ""YYxyXYYxxyX""]",False,False,1000,,False,False,True
637,9,YYYYYYYYXyyyyyyyx,YYYXyxYX,8,,yX,2,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",32,False,1000,,False,1000,,yX,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",True,False,1000,,False,False,False
639,9,YYYYYYYYXyyyyyyyx,YYYxYXyx,8,,yX,2,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",32,False,1000,,False,1000,,yX,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",True,False,1000,,False,False,False
638,9,YYYYYYYYXyyyyyyyx,YYYxyXYx,8,,yX,2,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",32,False,1000,,False,1000,,yX,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",True,False,1000,,False,False,False
636,9,YYYYYYYYXyyyyyyyx,YYYXYxyX,8,,yX,2,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",32,False,1000,,False,1000,,yX,21,58.05385714285714,"[""YXXyx"", ""YYYYYYYXyyyyyyxx""]",True,False,1000,,False,False,False
