name,cluster,description
ac19_17639,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_17727,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_18122,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_18125,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_18168,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_18221,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_18255,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_18375,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_18413,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_18516,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_18524,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_18718,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_18844,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_18936,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_18993,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_19026,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_19132,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_19144,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_19168,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_19313,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_19674,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_19700,non_bs_mid_stuck,no BS donor; 19<=total_len<=21; search never beat the root length
ac19_19775,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_19996,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_20011,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_20023,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_20050,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_20055,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_20074,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_20172,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_20270,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_20301,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_20443,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_20613,non_bs_mid_stuck,no BS donor; 19<=total_len<=21; search never beat the root length
ac19_20653,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_20708,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_20791,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_20858,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_21024,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_21067,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_21098,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_21102,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_21215,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_21293,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_21315,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_21522,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_21595,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_21855,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_21907,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_22018,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_22112,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_22263,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_22389,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_22520,non_bs_mid_stuck,no BS donor; 19<=total_len<=21; search never beat the root length
ac19_22598,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_22628,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_22957,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_22963,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_22984,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_23080,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_23093,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_23123,bs_stalled_hi,"BS donor recognized, preflight rejects with 7 stable letters left (T=6)"
ac19_23156,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_23233,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_23234,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_23285,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_23409,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_23430,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_23608,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_23763,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_23824,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_24058,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_24097,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_24119,bs_stalled_lo,"BS donor recognized, preflight rejects with 3 stable letters left (T=2)"
ac19_24135,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_24328,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_24374,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_24447,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_24481,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_24565,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_24596,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_24622,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_24668,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_25075,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_25143,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_25325,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_25347,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_25580,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_25757,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_25941,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_25945,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_25960,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_26073,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_26186,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_26438,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_26498,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_26505,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_26598,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_26841,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_26896,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_26912,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_26921,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_26942,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_27102,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_27114,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_27177,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_27178,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_27187,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_27254,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_27361,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_27374,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_27551,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_27559,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_27623,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_27683,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_27787,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_27867,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28131,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_28198,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_28227,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28253,non_bs_mid_stuck,no BS donor; 19<=total_len<=21; search never beat the root length
ac19_28281,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28510,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28515,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_28561,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_28570,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28671,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_28696,bs_stalled_hi,"BS donor recognized, preflight rejects with 7 stable letters left (T=6)"
ac19_28816,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28832,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_28889,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28930,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28956,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_28994,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_29052,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_29224,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_29491,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_29624,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_29918,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_29936,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_30096,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
ac19_30108,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_30235,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_30250,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_30256,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_30382,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_30433,non_bs_long_reduced,no BS donor; total_len>=22; search found a shorter state than root
ac19_30535,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_30814,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_30820,non_bs_short_reduced,no BS donor; total_len<=18; search found a shorter state than root
ac19_30890,non_bs_mid_reduced,no BS donor; 19<=total_len<=21; search found a shorter state than root
ac19_31106,non_bs_short_stuck,no BS donor; total_len<=18; search never beat the root length
